"","AEZ","N_obs","Boot_Train_R2","Boot_Train_RMSE","Boot_Train_MAE","Boot_Test_R2","Boot_Test_RMSE","Boot_Test_MAE","Full_Train_R2","Full_Train_RMSE","Full_Train_MAE","Full_Test_R2","Full_Test_RMSE","Full_Test_MAE"
"1","Warm.Semiarid",1777,0.75,981,749,0.61,1226,900,0.73,1029,791,0.65,1186,871
"2","Warm.Subhumid",4761,0.56,1081,839,0.47,1158,919,0.54,1105,859,0.49,1147,911
"3","Warm.Humid",503,0.53,878,649,0.23,1165,899,0.46,941,703,0.27,1121,876
"4","Cool.Semiarid",2406,0.69,1107,862,0.57,1317,1022,0.67,1133,885,0.59,1294,1009
"5","Cool.Subhumid",1284,0.75,913,696,0.68,1025,789,0.72,959,735,0.71,985,762
"6","Cool.Humid",665,0.64,973,765,0.55,1269,936,0.6,1030,824,0.61,1208,896
