"","AEZ","N_obs","Boot_Train_R2","Boot_Train_RMSE","Boot_Train_MAE","Boot_Test_R2","Boot_Test_RMSE","Boot_Test_MAE","Full_Train_R2","Full_Train_RMSE","Full_Train_MAE","Full_Test_R2","Full_Test_RMSE","Full_Test_MAE"
"1","Warm.Semiarid",1749,0.74,986,751,0.67,1166,875,0.72,1040,797,0.7,1130,854
"2","Warm.Subhumid",4668,0.54,1111,870,0.47,1151,909,0.52,1135,890,0.5,1139,901
"3","Warm.Humid",517,0.46,948,702,0.29,1051,804,0.4,995,749,0.37,992,764
"4","Cool.Semiarid",2398,0.68,1129,880,0.61,1233,956,0.66,1159,906,0.63,1208,942
"5","Cool.Subhumid",1170,0.73,913,687,0.64,1017,784,0.71,953,723,0.66,980,759
"6","Cool.Humid",664,0.66,968,755,0.48,1215,962,0.63,1019,805,0.52,1178,937
