"","AEZ","N_obs","Boot_Train_R2","Boot_Train_RMSE","Boot_Train_MAE","Boot_Test_R2","Boot_Test_RMSE","Boot_Test_MAE","Full_Train_R2","Full_Train_RMSE","Full_Train_MAE","Full_Test_R2","Full_Test_RMSE","Full_Test_MAE"
"1","Warm.Semiarid",1749,0.76,945,712,0.7,1112,824,0.74,992,752,0.72,1082,805
"2","Warm.Subhumid",4668,0.55,1068,827,0.5,1103,865,0.54,1088,846,0.52,1088,855
"3","Warm.Humid",517,0.45,950,708,0.29,1055,814,0.4,998,756,0.35,1002,782
"4","Cool.Semiarid",2398,0.68,1135,892,0.61,1241,966,0.66,1164,919,0.62,1218,951
"5","Cool.Subhumid",1170,0.74,912,690,0.64,1012,783,0.72,948,724,0.66,984,766
"6","Cool.Humid",664,0.66,974,762,0.5,1200,956,0.62,1029,817,0.54,1162,937
