"","AEZ","N_obs","Boot_Train_R2","Boot_Train_RMSE","Boot_Train_MAE","Boot_Test_R2","Boot_Test_RMSE","Boot_Test_MAE","Full_Train_R2","Full_Train_RMSE","Full_Train_MAE","Full_Test_R2","Full_Test_RMSE","Full_Test_MAE"
"1","Warm.Semiarid",2190,0.69,1003,759,0.58,1097,853,0.66,1049,795,0.61,1070,835
"2","Warm.Subhumid",5954,0.54,1079,833,0.45,1139,883,0.53,1090,843,0.47,1121,869
"3","Warm.Humid",608,0.5,996,766,0.26,1206,950,0.46,1042,811,0.3,1163,924
"4","Cool.Semiarid",3552,0.66,1212,936,0.63,1286,1017,0.65,1230,953,0.64,1266,1006
"5","Cool.Subhumid",1492,0.68,862,650,0.52,1048,794,0.66,885,673,0.54,1024,773
"6","Cool.Humid",698,0.66,923,721,0.46,1062,844,0.63,968,773,0.51,1019,821
