"","AEZ","N_obs","Boot_Train_R2","Boot_Train_RMSE","Boot_Train_MAE","Boot_Test_R2","Boot_Test_RMSE","Boot_Test_MAE","Full_Train_R2","Full_Train_RMSE","Full_Train_MAE","Full_Test_R2","Full_Test_RMSE","Full_Test_MAE"
"1","Warm.Semiarid",2169,0.71,943,719,0.6,1156,845,0.69,981,751,0.62,1130,827
"2","Warm.Subhumid",5735,0.53,1080,829,0.44,1176,887,0.51,1097,844,0.46,1163,877
"3","Warm.Humid",608,0.48,996,770,0.32,1252,959,0.44,1034,811,0.35,1220,934
"4","Cool.Semiarid",3552,0.65,1218,942,0.65,1239,973,0.64,1237,961,0.67,1224,963
"5","Cool.Subhumid",1492,0.7,890,682,0.7,959,726,0.68,921,708,0.72,930,707
"6","Cool.Humid",698,0.66,916,721,0.49,1145,884,0.63,961,769,0.53,1106,866
